epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
11;0.29387385333900223;0.8914924;0.5836002050091936;0.8662472369440278;0.5505787619526925;0.9013667;0.73122066;0.98196;0.31353799;0.8879578;0.5479628085463313;0.8519481417572792;0.2885743832986855;0.5091743119266054;0.9002971;0.69430053;0.9788227;0.30733946
12;0.29020473453227735;0.89019823;0.579554702090315;0.8659079629693212;0.5455460493205838;0.902455;0.7053669;0.9788089;0.3241067;0.8860956;0.5430075702254393;0.8523976369396128;0.2880649713187725;0.5137614678899083;0.9019608;0.6619718;0.9741565;0.3233945
13;0.2904638001581976;0.8923098;0.5920614639691962;0.8724843870537412;0.5500251382604324;0.90531766;0.70884776;0.977706;0.3467539;0.8860956;0.5460187742867413;0.8564710841231058;0.28551549434402873;0.5217391304347826;0.9043798;0.64935064;0.97092605;0.3440367
14;0.2914654267625144;0.89244604;0.5955972280076453;0.8705559866880113;0.5592964824120603;0.9016986;0.74113476;0.98274773;0.31555107;0.88857853;0.5480514386983079;0.8541001205239829;0.2861847233057281;0.5193621867881549;0.9024876;0.68599033;0.9766691;0.32568806
15;0.2900985137767992;0.8919011;0.5996398561329107;0.8760069092555209;0.5591343734272773;0.8991017;0.7610966;0.9855837;0.29340714;0.8895096;0.5480902877539493;0.8539576980577857;0.29353213769486053;0.5045871559633027;0.90046144;0.71276593;0.98061734;0.30733946
16;0.28902341517161834;0.8932634;0.601238989980363;0.8766250361079487;0.5646703573225968;0.9066589;0.71;0.97715455;0.3573226;0.8882682;0.5442800761710229;0.8527615139919782;0.28641606497559247;0.4965675057208238;0.9062291;0.66101694;0.971285;0.35779816
17;0.2855935278389542;0.89244604;0.6025473570460982;0.8776303099499194;0.5595776772247361;0.9128594;0.66721314;0.9680164;0.4096628;0.88485414;0.5454130633242885;0.8562623899313079;0.2882289353556917;0.49430523917995445;0.91085404;0.614841;0.9608758;0.39908257
18;0.28519375246673095;0.8933315;0.6088405513644941;0.878682009713524;0.5611474584801208;0.90260494;0.7444832;0.982669;0.32259688;0.8879578;0.5414955545886199;0.8561228488444844;0.28506186707402;0.5079365079365079;0.9026901;0.67772514;0.97559226;0.32798165
19;0.28647310757820127;0.8949663;0.607449244274215;0.8792591025532354;0.5631605435329643;0.90564525;0.7379679;0.98069954;0.34725717;0.88485414;0.5423215471671432;0.8573947720252639;0.2848750826278915;0.5114678899082569;0.90371114;0.64069265;0.97020817;0.33944955
20;0.28419634924592413;0.893604;0.6108145569886237;0.8787840991654515;0.5610859728506787;0.9002589;0.7741935;0.986214;0.30196276;0.88547486;0.5423540727433138;0.8552098632085724;0.2868214787245907;0.5114678899082569;0.8987133;0.6753927;0.9777459;0.29587156
21;0.2864880765422605;0.8941489;0.6133400183133282;0.880674716522371;0.5626572722697534;0.9062135;0.7234262;0.9788877;0.35279316;0.88640594;0.5479302410817803;0.8582172000237096;0.28301968849376813;0.5091743119266054;0.9041416;0.6535088;0.9716439;0.3417431
22;0.2868947259750372;0.89483005;0.6133678201289382;0.8792971630867696;0.5621540010065426;0.9049833;0.7420765;0.98140854;0.34172118;0.8857852;0.5413905869066462;0.8562125832307014;0.2882440441203073;0.5272727272727272;0.90166116;0.6603774;0.9741565;0.32110092
23;0.28075727418889246;0.8951025;0.6175138502210658;0.8829763479950701;0.5728643216080402;0.90214884;0.77490777;0.9855837;0.3170609;0.88857853;0.5472623911357434;0.8578574392275927;0.2849784801436055;0.5160550458715596;0.90062726;0.69948184;0.97918165;0.30963302
24;0.27987473494363174;0.8949663;0.6177191598880756;0.8815445186527936;0.568193256165073;0.90605885;0.7344573;0.9801481;0.35078007;0.88547486;0.5336898601674407;0.8558989245045675;0.2878098549942176;0.5148741418764302;0.90350586;0.6475771;0.971285;0.33715597
25;0.28048270537167347;0.89653295;0.6236926576355184;0.884363337271277;0.5729376257545271;0.9065115;0.75;0.9815661;0.35329643;0.8882682;0.5486424164226238;0.8578409742025989;0.28336970285876134;0.5091743119266054;0.90433335;0.6711712;0.97379756;0.3417431
26;0.27781822471046175;0.89755464;0.6263931176513262;0.8856143790792665;0.5742325113236034;0.9128542;0.7139061;0.9745549;0.40563664;0.8845438;0.5435068151212302;0.8546928614237637;0.287827561326755;0.5102040816326531;0.9069454;0.625;0.965542;0.36697248
27;0.280179500995475;0.8972141;0.6242473013663601;0.8849003079652211;0.5737292400603925;0.90848005;0.7414141;0.979833;0.3694011;0.8845438;0.5434740504813298;0.8543438028938928;0.2857904606432296;0.5;0.9031396;0.6403509;0.9705671;0.33486238
28;0.28222382788266437;0.89762276;0.6310866762395827;0.8882967150032799;0.5784708249496981;0.9075679;0.7542017;0.9815661;0.36134878;0.88857853;0.5436608402070484;0.8561780066782141;0.28547813663574795;0.5114678899082569;0.9046349;0.67264575;0.97379756;0.3440367
29;0.27853837668059367;0.8983039;0.6300614538289734;0.8877532026551346;0.5811965811965812;0.90846765;0.75463915;0.981251;0.36839455;0.887337;0.5470890558365847;0.8576713844451617;0.28488457604808;0.5112107623318386;0.9045075;0.66079295;0.9723618;0.3440367
30;0.2771355265898782;0.89953;0.6343846353736133;0.8889298281907869;0.5792652239557121;0.9102011;0.75447315;0.980542;0.3819829;0.8895096;0.5463501448528166;0.8597443310918946;0.28668031256245874;0.505720823798627;0.90744466;0.6666667;0.971285;0.36697248
31;0.278269817186477;0.8997344;0.6386108719179362;0.889685666775747;0.5860160965794768;0.9129379;0.7355901;0.97723335;0.4046301;0.88547486;0.5451651144130055;0.8596249596606889;0.28400861684864237;0.5034324942791762;0.9078637;0.6293436;0.965542;0.3738532
32;0.2790924916149818;0.8991894;0.6360144919081856;0.889605006197127;0.5863453815261044;0.9070713;0.77949286;0.9842445;0.3558128;0.88702667;0.5466936385620235;0.8587572528435099;0.28256935673904005;0.49772727272727274;0.9023256;0.6698113;0.9748744;0.32568806
33;0.2776936204650354;0.89653295;0.6372105448609247;0.88957102924167;0.587317564167086;0.9010839;0.812;0.9888924;0.3064922;0.8845438;0.5489430128242065;0.8619926302548127;0.28202945668964857;0.5010940919037199;0.89651775;0.6797753;0.9795406;0.27752292
34;0.2784499633166878;0.8973503;0.6426164721487365;0.891318463664362;0.5903371917463512;0.90290284;0.80075186;0.9874744;0.32159033;0.88485414;0.5491140088116653;0.8609652126951928;0.28133692802349136;0.5045871559633027;0.8986464;0.6683938;0.977028;0.29587156
35;0.2747599654096071;0.89707786;0.6419318300167182;0.8901062554944938;0.5880281690140845;0.902991;0.79528534;0.9870017;0.32259688;0.8857852;0.5455734584808001;0.8586983903791565;0.2824676495246603;0.5080091533180778;0.8995373;0.67346936;0.977028;0.3027523
36;0.27772544965266727;0.89953;0.650661163976173;0.8936135138364709;0.5908404630095622;0.90663284;0.78893906;0.98526865;0.3517866;0.8857852;0.5405240600309601;0.8567122967392665;0.286422643263626;0.5067567567567568;0.90353805;0.6504425;0.9716439;0.33715597
37;0.27656370939229;0.8997344;0.646664326454878;0.892723234346079;0.5908404630095622;0.9102208;0.7567298;0.98077834;0.3819829;0.887337;0.5564100929622539;0.8628368744113754;0.28355152714560483;0.5204545454545455;0.90640724;0.6514523;0.9698492;0.36009175
38;0.27512075849751344;0.89871264;0.6437768306814795;0.8914080843269182;0.587820835430297;0.90478945;0.79832935;0.98668665;0.3366885;0.8860956;0.5502838725569419;0.859592029610701;0.2868215630199786;0.5114678899082569;0.90169376;0.6635071;0.97451544;0.32110092
39;0.2733594138454627;0.9008242;0.6499771841899373;0.8947944806517295;0.5918470055359839;0.9130403;0.74651814;0.97849375;0.4046301;0.8833023;0.5531235903460419;0.861151267477624;0.28242747142707464;0.5110132158590308;0.90736985;0.6136364;0.9633884;0.37155962
40;0.2747093101686941;0.8993938;0.6525478691387239;0.8947498586407998;0.5968797181680926;0.90603054;0.7937788;0.98589885;0.3467539;0.89075106;0.5549397257790172;0.8593104776833052;0.2816782385009109;0.5045871559633027;0.9051265;0.69266057;0.9759512;0.34633029
41;0.27338579880669595;0.89871264;0.6483711040055037;0.892678533042371;0.5918470055359839;0.90438044;0.8033981;0.98723805;0.3331656;0.88919926;0.5520540827565723;0.8576417474001725;0.2865567297242873;0.5022935779816514;0.90175325;0.69849247;0.97846377;0.31880733
42;0.2712409356111004;0.9021865;0.6569578070265716;0.8963651912950168;0.5893306492199295;0.9154857;0.7431598;0.97707576;0.4237544;0.8857852;0.5564908088858075;0.8592866033970641;0.28497870080057397;0.5022935779816514;0.90844595;0.629771;0.9651831;0.37844038
